חברה,יום אקס דיבידנד,דיבידנד,סוג,תאריך תשלום,תשואה,Comfortable Date X
קרדן נדלן (KARE),26.03.2023,18.9437,,19.04.2023,5.34%,3/26/2023
סיאון (CION),26.03.2023,0.34,,31.03.2023,13.64%,3/26/2023
ירושלים (JBNK),27.03.2023,19.71135,,16.04.2023,11.75%,3/27/2023
לאומי (LUMI),27.03.2023,45.19769,,04.04.2023,3.91%,3/27/2023
אאורה השקעות (AURA),27.03.2023,3.1191,,04.04.2023,1.65%,3/27/2023
נובולוג (NVLG),27.03.2023,3.32217,,03.04.2023,3.18%,3/27/2023
לכיש (LHIS),27.03.2023,25.0,,04.04.2023,2.25%,3/27/2023
"מקס סטוק בע""מ (MAXO)",27.03.2023,43.1723,,03.04.2023,10.02%,3/27/2023
אי.בי.אי. (IBI),27.03.2023,394.93522,,03.04.2023,8.93%,3/27/2023
בינלאומי (FIBI),28.03.2023,267.1184,,04.04.2023,6.02%,3/28/2023
לפידות (LAPD),28.03.2023,16.15043,,04.04.2023,2.65%,3/28/2023
ברקת קפיטל (BRKT),28.03.2023,9.25616,,04.04.2023,7.17%,3/28/2023
חילן (HLAN),28.03.2023,125.0,,20.04.2023,1.51%,3/28/2023
אי.טי.ג'י.איי (ETGA),28.03.2023,17.87345,,09.04.2023,4.85%,3/28/2023
אוברסיז קומרס (OVRS),28.03.2023,1.8178,,17.04.2023,5.21%,3/28/2023
מטריקס (MTRX),29.03.2023,59.0,,16.04.2023,7.12%,3/29/2023
אלמוגים החזקות (ALMA),29.03.2023,53.57133,,09.04.2023,10.35%,3/29/2023
אורון אחזקות והשקעות (ORON),29.03.2023,15.35505,,17.04.2023,2.57%,3/29/2023
הייפר גלובל (HIPR),30.03.2023,19.0,,17.04.2023,2.88%,3/30/2023
וואן טכנולוגיות (ONE),30.03.2023,40.54974,,13.04.2023,3.96%,3/30/2023
הפניקס (PHOE),30.03.2023,70.201,,10.04.2023,3.76%,3/30/2023
אינרום תעשיות בנייה (INRM),30.03.2023,14.9948,,19.04.2023,2.63%,3/30/2023
